date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:33	31180/31180	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jul%202014%2013:30:15%20GMT	http://statfa.net/landing/identity/index-1.html	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/index-1.html	(from )
21:57:34	72/72	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20Oct%202014%2021:57:34%20GMT	http://statfa.net/robots.txt		(from )
21:57:35	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2029%20Apr%202014%2015:28:25%20GMT	http://statfa.net/landing/identity/img/ico-16.ico	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/ico-16.ico	(from )
21:57:35	1283/1283	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:26%20GMT	http://statfa.net/landing/identity/img/ico-57.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/ico-57.png	(from )
21:57:36	1384/1384	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:27%20GMT	http://statfa.net/landing/identity/img/ico-72.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/ico-72.png	(from )
21:57:36	1639/1639	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:24%20GMT	http://statfa.net/landing/identity/img/ico-114.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/ico-114.png	(from )
21:57:37	1775/1775	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:25%20GMT	http://statfa.net/landing/identity/img/ico-144.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/ico-144.png	(from )
21:57:37	1825/1825	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202014%2019:49:22%20GMT	http://statfa.net/landing/identity/css/normalize.css	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/css/normalize.css	(from )
21:57:38	97077/97077	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202014%2019:49:22%20GMT	http://statfa.net/landing/identity/css/bootstrap.min.css	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/css/bootstrap.min.css	(from )
21:57:38	17780/17780	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202014%2019:49:19%20GMT	http://statfa.net/landing/identity/css/font-awesome.min.css	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/css/font-awesome.min.css	(from )
21:57:39	34853/34853	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20May%202014%2005:54:55%20GMT	http://statfa.net/landing/identity/css/style.css	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/css/style.css	(from )
21:57:39	4578/4578	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202014%2019:49:23%20GMT	http://statfa.net/landing/identity/css/style-responsive.css	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/css/style-responsive.css	(from )
21:57:40	2800/2800	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jul%202014%2014:00:26%20GMT	http://statfa.net/landing/identity/images/logo.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/logo.png	(from )
21:57:40	12951/12951	---M--	200	added ('OK')	image/gif	date:Tue,%2029%20Apr%202014%2015:28:28%20GMT	http://statfa.net/landing/identity/img/loader.gif	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/loader.gif	(from )
21:57:43	3323/3323	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jul%202014%2014:00:34%20GMT	http://statfa.net/landing/identity/images/signature.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/signature.png	(from )
21:57:46	28131/28131	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Jul%202014%2014:00:33%20GMT	http://statfa.net/landing/identity/images/photo.jpg	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/photo.jpg	(from )
21:57:49	33280/33280	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Jul%202014%2014:00:35%20GMT	http://statfa.net/landing/identity/images/portfolio/thumb1.jpg	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/portfolio/thumb1.jpg	(from )
21:57:49	85041/85041	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Jul%202014%2014:01:51%20GMT	http://statfa.net/landing/identity/images/slide1.jpg	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/slide1.jpg	(from )
21:57:50	56924/56924	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Jul%202014%2014:01:52%20GMT	http://statfa.net/landing/identity/images/slide2.jpg	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/slide2.jpg	(from )
21:57:51	29662/29662	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Jul%202014%2014:00:38%20GMT	http://statfa.net/landing/identity/images/portfolio/thumb2.jpg	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/portfolio/thumb2.jpg	(from )
21:57:53	18652/18652	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Jul%202014%2014:00:39%20GMT	http://statfa.net/landing/identity/images/portfolio/thumb4.jpg	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/portfolio/thumb4.jpg	(from )
